dataset_id,split_id,rule,ref_id,theta_path,dataset_path,attempt_seed,optimizer_chain,P,train_error,test_error,CE_mean_train,CE_sum_train,CE_mean_test,theta_norm,min_margin,q05_margin,median_margin,mean_margin
0,0,low_tv_spectral_teacher,0,02_dnn/08_mnist/runs/final/single_dataset_12x12_30ref_dense_0p01_to_2p50_4rule_lowtv/04_exact_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_000/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_12x12_30ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2700000,adam,2533,0.0,0.095703125,0.001556647208495012,1.5940067414988923,0.5143460314467636,12.41929846392465,0.38520830247665816,5.657752264151117,7.784918318590919,7.568652118390517
0,0,low_tv_spectral_teacher,1,02_dnn/08_mnist/runs/final/single_dataset_12x12_30ref_dense_0p01_to_2p50_4rule_lowtv/04_exact_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_001/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_12x12_30ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2700001,adam,2533,0.0,0.0966796875,0.0017735353592249923,1.8161002078463921,0.5181112819226615,12.875101226719522,1.3799149471510943,5.134371246634022,8.208516183829591,7.683937505599237
0,0,low_tv_spectral_teacher,2,02_dnn/08_mnist/runs/final/single_dataset_12x12_30ref_dense_0p01_to_2p50_4rule_lowtv/04_exact_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_002/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_12x12_30ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2700002,adam,2533,0.0,0.10009765625,0.0018167117673545375,1.8603128497710464,0.5454499885146373,12.47901748453767,0.6483107126935307,5.451259515499254,8.537095384382479,8.14127935194605
0,0,low_tv_spectral_teacher,3,02_dnn/08_mnist/runs/final/single_dataset_12x12_30ref_dense_0p01_to_2p50_4rule_lowtv/04_exact_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_003/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_12x12_30ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2700003,adam,2533,0.0,0.10205078125,0.002122250837949099,2.1731848580598774,0.5112629836552285,13.232497130438276,1.1129847453514592,5.191062503525276,7.92446090273144,7.718434887074107
0,0,low_tv_spectral_teacher,4,02_dnn/08_mnist/runs/final/single_dataset_12x12_30ref_dense_0p01_to_2p50_4rule_lowtv/04_exact_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_004/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_12x12_30ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2700004,adam,2533,0.0,0.10888671875,0.0006680684339512811,0.6841020763661119,0.5708451041443762,14.104481396779244,3.119893722375076,6.025420254536526,8.188971710292513,8.110381550172317
0,0,low_tv_spectral_teacher,5,02_dnn/08_mnist/runs/final/single_dataset_12x12_30ref_dense_0p01_to_2p50_4rule_lowtv/04_exact_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_005/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_12x12_30ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2700005,adam,2533,0.0,0.0986328125,0.0009674100108037345,0.9906278510630241,0.5753273838193627,11.992446535327575,2.0880848174085638,5.6222242129448405,9.410438555341308,8.694881491141848
0,0,low_tv_spectral_teacher,6,02_dnn/08_mnist/runs/final/single_dataset_12x12_30ref_dense_0p01_to_2p50_4rule_lowtv/04_exact_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_006/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_12x12_30ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2700006,adam,2533,0.0,0.09326171875,0.0007065208064464298,0.7234773058011441,0.5624458653336037,12.220768602301792,1.6288168883641094,5.898974500569727,9.158992325600464,8.760474782720934
0,0,low_tv_spectral_teacher,7,02_dnn/08_mnist/runs/final/single_dataset_12x12_30ref_dense_0p01_to_2p50_4rule_lowtv/04_exact_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_007/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_12x12_30ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2700007,adam,2533,0.0,0.09619140625,0.002755146274360009,2.8212697849446493,0.476875699015026,13.04925609502602,0.7290649102523425,4.8716765971789515,7.3035012114597695,7.019599452068717
0,0,low_tv_spectral_teacher,8,02_dnn/08_mnist/runs/final/single_dataset_12x12_30ref_dense_0p01_to_2p50_4rule_lowtv/04_exact_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_008/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_12x12_30ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2700008,adam,2533,0.0,0.09814453125,0.000749217191410134,0.7671984040039772,0.5634965913075578,13.503886466363756,1.3418192615725337,6.4368850501085095,8.721574495227147,8.49167472317934
0,0,low_tv_spectral_teacher,9,02_dnn/08_mnist/runs/final/single_dataset_12x12_30ref_dense_0p01_to_2p50_4rule_lowtv/04_exact_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_009/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_12x12_30ref_dense_0p01_to_2p50_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2700009,adam,2533,0.0,0.10107421875,0.0016426489909251328,1.682072566707336,0.526271401195134,14.292659433270561,0.3700657330156062,5.759344446522831,8.047537742236145,7.7869186349623725
